Geracao,Individuo 1,Individuo 2,Individuo 3,Individuo 4,Individuo 5,Individuo 6,Individuo 7,Individuo 8,Individuo 9,Individuo 10,Individuo 11,Individuo 12,Individuo 13,Individuo 14,Individuo 15,Individuo 16,Individuo 17,Individuo 18,Individuo 19,Individuo 20,Individuo 21,Individuo 22,Individuo 23,Individuo 24,Individuo 25,Individuo 26,Individuo 27,Individuo 28,Individuo 29,Individuo 30,Individuo 31,Individuo 32,Individuo 33,Individuo 34,Individuo 35,Individuo 36,Individuo 37,Individuo 38,Individuo 39,Individuo 40,Individuo 41,Individuo 42,Individuo 43,Individuo 44,Individuo 45,Individuo 46,Individuo 47,Individuo 48,Individuo 49,Individuo 50,Individuo 51,Individuo 52,Individuo 53,Individuo 54,Individuo 55,Individuo 56,Individuo 57,Individuo 58,Individuo 59,Individuo 60,Individuo 61,Individuo 62,Individuo 63,Individuo 64,Individuo 65,Individuo 66,Individuo 67,Individuo 68,Individuo 69,Individuo 70,Individuo 71,Individuo 72,Individuo 73,Individuo 74,Individuo 75,Individuo 76,Individuo 77,Individuo 78,Individuo 79,Individuo 80,Individuo 81,Individuo 82,Individuo 83,Individuo 84,Individuo 85,Individuo 86,Individuo 87,Individuo 88,Individuo 89,Individuo 90,Individuo 91,Individuo 92,Individuo 93,Individuo 94,Individuo 95,Individuo 96,Individuo 97,Individuo 98,Individuo 99,Individuo 100,Individuo 101,Individuo 102,Individuo 103,Individuo 104,Individuo 105,Individuo 106,Individuo 107,Individuo 108,Individuo 109,Individuo 110,Individuo 111,Individuo 112,Individuo 113,Individuo 114,Individuo 115,Individuo 116,Individuo 117,Individuo 118,Individuo 119,Individuo 120,Individuo 121,Individuo 122,Individuo 123,Individuo 124,Individuo 125,Individuo 126,Individuo 127,Individuo 128,Individuo 129,Individuo 130,Individuo 131,Individuo 132,Individuo 133,Individuo 134,Individuo 135,Individuo 136,Individuo 137,Individuo 138,Individuo 139,Individuo 140,Individuo 141,Individuo 142,Individuo 143,Individuo 144,Individuo 145,Individuo 146,Individuo 147,Individuo 148,Individuo 149,Individuo 150
0,169053,175181,179196,175987,180807,164077,183845,179614,175277,168348,155534,162712,175121,174435,146691,167990,173887,175589,171516,158378,179189,176682,186624,171337,181419,183327,160213,177394,180049,177604,163405,187917,157418,160923,172742,175457,166970,172911,169405,173551,170591,156002,162094,188170,162043,172086,178636,165888,152727,170270,171412,168006,189775,168354,175416,165289,162568,161261,164129,173027,162781,166884,172883,161809,165497,163065,165225,163099,163215,165134,161437,171226,158175,168007,157370,184322,175992,162739,173090,182785,154388,174350,165842,172682,165329,168101,164119,164665,173385,166913,188911,176207,165661,170686,158291,187485,182484,174334,171435,167531,171473,160889,167126,173429,173719,181035,177010,162944,176328,176331,161571,177299,174275,168991,182812,164587,182460,162994,169178,183360,164107,167717,165700,165649,167853,176025,161020,177725,179536,168308,173816,161715,166571,166570,169772,159564,161407,164082,164976,174506,161894,167605,172617,176702,164894,167744,176584,178281,162646,184571
1,146691,152727,154388,155534,156002,157370,181201,168340,173093,168554,165999,172191,163352,166885,172451,184711,158592,168292,162487,158407,159287,166551,162871,165220,157829,170517,171912,180764,175185,176431,177971,174352,188563,169205,166442,154937,171253,174690,166539,171933,165142,168431,169922,165125,169032,153773,176069,166983,158750,170258,173364,167351,159855,161263,163926,168206,164386,162135,153589,168582,172911,163758,167542,156693,168499,174529,165167,168444,169046,179933,165423,168203,173529,176933,167230,172064,174599,162177,181035,172009,161699,166668,161937,164676,172775,168940,179594,172660,171106,167948,162181,178216,168153,158647,182563,170955,161024,166688,184402,170768,167123,165881,167816,162163,168882,169815,159375,165318,167126,162674,184039,169522,178754,162094,174514,176328,174631,158514,177422,156764,171637,172918,176090,178570,169825,166067,172375,175089,166265,166427,167778,160923,163532,171419,155854,156026,166423,171457,171808,166040,160409,188855,176212,178257,165509,174074,169581,173912,166292,181094
2,146691,152727,153589,153773,154388,154937,165103,164445,167187,180123,176382,182236,151662,183970,170412,177836,158045,164529,162166,174963,166351,178237,175171,164469,158895,160389,174009,166909,178667,164982,164037,169156,169229,156017,166981,160792,167392,179187,169189,168253,165643,171286,179649,164331,164168,173527,172371,175479,176485,151410,157073,168582,166983,177045,168354,147939,177548,166912,170995,181112,177512,186610,171046,163503,177772,172277,179950,178234,169539,188397,162487,175185,162343,176364,173912,160501,168767,159170,167258,174457,157084,162003,172755,162759,168569,179109,158470,168507,167934,182792,167816,163482,160392,166772,178890,167921,165336,151672,169046,174074,166694,151742,169000,168541,180946,173718,158233,178907,178116,170253,185218,172114,186993,166555,171577,168488,169460,178322,178051,170054,174856,174944,169704,173894,153773,162074,168911,170636,185053,157370,169204,175126,170685,161541,159855,170213,171993,177514,185804,161370,158462,174189,173820,175767,161691,172273,170734,171805,178135,157503
3,146691,147939,151410,151662,151672,151742,164223,162525,178626,179698,171329,160998,175300,160851,167845,160147,175395,164445,159254,167663,165512,168926,169168,149339,167701,164359,170113,172135,156953,186766,166123,171729,171371,170221,179685,191441,170068,169222,167164,161283,162505,165077,154720,182399,187481,163566,167797,184713,172593,163401,176336,170464,160410,162815,177222,171546,170539,168819,187241,175018,181956,165191,165076,179846,172578,158035,189469,162498,166025,166216,170636,186556,182301,177702,166238,162206,165248,189822,153033,162879,168821,173247,169865,174457,173528,176203,156012,171203,156407,179341,155669,157462,166555,181607,164552,156471,176695,166269,166192,158730,175879,183186,163517,161701,177032,172694,178270,175325,151234,164660,175846,163823,162827,171823,174740,170514,169174,165147,175895,161264,166573,173803,171991,177689,167834,162012,164732,158073,165988,171036,160578,177253,175417,171006,175469,169105,168814,169694,173718,170300,178211,162840,167774,166315,155910,171853,182017,175425,176804,164202
4,146691,147939,149339,151234,151410,151662,162733,166453,182640,169175,184605,179827,180103,171526,169313,176737,153587,172274,171060,176699,154744,171383,167375,189053,169655,168234,160642,177878,187995,175814,154216,164488,165147,171348,173339,182315,159139,162273,172218,174462,170691,155104,159333,169658,183597,176674,175369,154676,161925,169570,181429,184713,167329,166788,181517,165735,168627,162727,170477,163241,163475,168689,151716,180415,191483,178462,160147,174842,170485,165490,154896,169594,182646,170218,185678,172187,170300,165248,154746,154053,191441,158207,171247,165304,174655,158451,164777,174402,162448,173660,164893,169745,162991,182300,175406,164422,151547,166372,165497,158009,182243,170078,166422,181817,163247,173083,164553,170893,171546,167655,182185,172353,164784,169300,173796,183277,172080,160166,187106,171749,171350,163504,175065,162446,186368,171904,181251,167237,177424,174387,176566,172177,165656,164895,164549,170117,163430,180409,161107,162318,169755,174997,165213,169371,160479,158063,168025,168748,184694,176067
5,146691,147939,149339,151234,151410,151547,177630,181423,157949,170634,160705,167414,172195,161663,171574,182122,164384,177447,174269,165137,164564,157254,171816,159315,183524,173005,167647,177510,168928,174575,172901,174967,162007,152921,166649,176850,179810,169232,164768,169601,168776,169053,170848,166914,167008,177404,173459,171523,163675,153086,188754,190656,164787,169838,149735,169525,178869,179146,158714,178881,173159,170328,162791,165638,163711,169730,168369,171338,171294,175402,160145,170303,175516,162681,173837,173255,165892,165156,159731,185108,163693,169913,154830,183750,155902,162583,171350,172549,170393,157052,168047,159655,159731,181393,169540,192062,161174,167296,176344,174636,159141,171251,163282,153587,179227,161496,167398,171132,163115,165702,164632,161311,164587,185427,183596,166618,177402,187111,179755,175577,171005,180545,181196,179378,153610,162088,164893,161014,168003,162655,164234,173974,182028,147939,177407,169284,170785,149876,176506,160159,175424,164775,167754,168159,161815,172484,174493,157524,178095,169620
6,146691,147939,147939,149339,149735,149876,177816,168400,166221,170851,167557,164953,184473,177586,160972,168275,187111,172195,185552,175528,171650,187886,168808,167251,180176,180635,172317,177391,173189,169715,177432,185248,159731,161663,169697,173317,159334,165000,168123,177225,163282,192211,179630,180440,179350,169565,172404,177178,173312,172549,158313,183342,168904,163990,165116,167900,176086,168343,174998,173093,171883,172171,175890,173557,167965,174624,172412,170834,164742,163873,166089,163861,171816,170653,155037,167852,166304,162949,179248,174232,172198,175212,161324,163282,176256,169359,178890,170782,171192,165790,168964,170317,175373,173620,178007,161866,167292,174029,177734,154722,165916,179380,164387,161306,168419,160530,159955,160411,171883,170568,180631,165087,173120,167655,176773,163693,171966,171429,174090,181051,164145,178070,163460,166246,163949,168941,175553,158674,160082,168911,165238,172207,158218,163502,179352,174002,166870,166685,170868,168405,187955,169968,156383,177437,165456,188100,167893,161764,173822,177901
7,146691,147939,147939,149339,149735,149876,169349,196552,167304,169376,167768,169417,173512,162249,171601,180310,158512,170520,184007,168911,166095,178588,157566,164440,179397,168448,168023,159667,176096,154696,182821,169630,163174,172098,170005,164616,170058,173466,196733,168896,163803,178450,169732,175500,154330,172377,165027,167394,169401,175723,175327,172655,176666,171687,169401,174551,178103,181036,174670,174610,170697,168600,169217,168640,168371,168247,184420,168907,157490,177011,162896,157674,177479,179828,184151,163854,163546,186753,168004,158313,169696,168661,171966,176256,161663,171650,158058,174880,188170,170977,182553,171088,160567,171358,181821,181935,164601,172381,151775,176730,186844,173842,169594,166995,171189,172317,180721,181154,177944,154927,169121,166931,166639,169568,164654,179207,172595,170190,167500,162473,188650,165065,174970,172640,191457,159521,180183,164501,169939,171800,169942,172147,173603,170621,175291,178678,170055,154900,180631,165641,183840,176951,156002,169503,164953,168816,173094,170074,171076,161248
8,146691,147939,147939,149339,149735,149876,174250,174901,161547,162137,162096,179157,167245,173463,171541,153540,168276,173013,154890,168074,178409,166467,169360,173829,171896,168950,164732,175598,166952,164690,172250,162451,166539,178973,170840,148672,157561,169226,168071,169711,172601,166299,166012,177693,156881,163888,176804,181761,170452,166320,160423,169819,161051,173137,170210,171773,162844,174030,168163,171832,168495,175631,166623,175440,165200,168126,169213,174782,172936,177116,171351,167039,170749,176504,149141,161738,161214,161789,166391,172014,184420,182534,165313,180143,170005,167304,164652,166973,168033,173681,157606,177758,165654,164314,169218,170446,174973,163251,166350,169217,169549,187194,167709,166820,176922,166136,170467,169184,179892,147202,177210,178661,169957,165031,168813,168883,172912,179529,174026,149795,153046,163355,154810,161106,174728,186384,177256,186911,176621,158151,165112,164149,161721,169304,170039,171688,190008,178476,174304,173745,167224,170294,179996,169475,149191,182193,186095,183426,180518,175517
9,146691,147202,147939,147939,148672,149141,167036,169489,162096,175419,176865,178988,174741,172945,175045,154342,176990,179157,158197,164791,172723,172482,170663,166753,168083,176610,159416,158766,172859,163943,177817,184681,176974,149229,158804,166660,179028,176431,169429,172806,178486,165230,170585,163065,165304,166052,170116,169256,170663,166246,168164,174386,171840,173874,164566,163697,156779,168854,162221,156549,179946,170678,169799,174030,162885,163600,173489,162507,162301,164852,167422,161408,171228,178966,176170,182659,168702,168624,163261,169553,166453,179362,160901,173243,171820,171758,172108,164447,159772,162458,170042,164215,162035,174398,173119,171508,173524,173715,179427,175904,159337,184188,170694,179954,184431,177809,191199,174927,164943,173390,170871,175260,184099,170521,160766,186927,182874,151103,180783,183435,160875,163623,167690,169463,173401,179325,170850,171185,177271,165837,172901,161249,164469,171594,163723,169984,164408,163011,175378,172316,179249,177559,166574,169924,165243,178652,184801,173418,160212,154027
10,146691,147202,147939,147939,148672,149141,171162,177432,167741,158383,176294,184099,154592,168221,157394,164697,163390,159795,163857,176600,172905,166421,174769,157874,168961,173281,182550,172931,179162,178157,170732,147186,164005,175276,186464,173883,175164,175841,168678,169223,164500,170077,163426,171854,160370,178172,166891,169159,174544,164781,165532,172769,156235,172651,170213,165630,173243,165214,169235,175356,163336,161762,178475,179961,178675,173222,149104,167158,169978,171079,165555,177805,171173,169095,161711,167399,181177,160732,181123,168956,158400,179569,173273,160520,168864,164725,174367,149652,169655,171093,168230,168252,171539,172199,146966,168684,164128,169244,172764,174241,168494,172376,161797,163275,170570,173955,179658,178067,170030,170111,188294,169057,164920,174347,184681,178995,151594,170543,159936,173550,161873,175816,161969,167377,162691,172858,179338,160459,172966,158908,173086,170836,172622,163011,177586,173061,152772,171416,162746,178303,167868,178193,172670,156483,159375,178680,177343,162905,175565,174610
11,146691,146966,147186,147202,147939,147939,159167,173584,169563,177423,168892,163908,168060,158511,170200,167693,165980,168846,166367,173594,176046,161444,171036,170139,168501,172938,167182,164303,173388,168364,155859,168013,157856,153049,175657,167520,168697,159583,166844,161601,176488,153400,161318,169059,184197,177269,167616,171317,172468,160190,177190,166486,152206,175790,163286,167621,171964,163318,166404,165165,170806,172718,182614,171768,160787,155041,173071,171875,163393,174749,179374,175757,169335,169708,182475,175189,157591,171573,162005,175081,174649,175709,175052,173746,168013,172826,176850,184022,162836,164210,168153,171201,175225,165812,175559,165644,166806,168623,169943,175509,152256,168406,169927,178183,174570,187865,175814,164921,171838,182010,173277,173267,164867,182383,173558,167680,165936,182000,161201,187111,170554,149361,160481,147988,168450,172310,177001,173683,181211,166045,162484,180928,176628,159947,155641,182935,153013,168783,176171,175544,154834,185144,171116,161890,162753,163876,176095,172446,152794,158966
12,146691,146966,147186,147202,147939,147939,168405,169042,166236,167281,169687,149617,175718,155858,175100,161294,170180,148309,185417,174481,163482,166979,182207,189723,162320,167127,175322,164668,171970,172722,160271,163406,176797,167724,172954,173959,163354,166244,166283,179777,178896,167438,170951,162593,171736,170613,181637,164428,168033,165204,170508,175371,163980,171787,176830,172316,174434,185356,166620,178936,163211,183856,171555,176426,175070,177693,170768,174786,175921,177832,157303,161825,166222,158682,170772,170026,166813,158074,169497,180279,176919,174887,161156,175488,165530,155729,180162,156375,164939,173970,162755,168834,171904,172267,170233,168054,160440,181052,168248,165667,160968,165543,154474,160840,174826,178752,174856,168202,164232,165048,162263,172263,190743,163286,167873,171383,167399,165293,171318,185527,159739,171409,164442,162118,169780,175450,180194,173852,160527,163059,172424,172303,161576,159226,159472,160609,158393,157950,174346,171458,167592,172321,152463,164525,164389,164790,172288,159402,169669,157620
13,146691,146966,147186,147202,147939,147939,170101,159277,167404,159804,170364,185395,171488,173961,160231,178489,155034,171059,167116,179409,165823,165790,169763,179239,170419,156063,173056,173085,173334,164667,180192,178854,156349,149912,180201,164760,165895,177483,180738,170043,170889,162787,171446,164758,164330,164645,159054,160734,169985,172457,161901,183963,177073,173708,165003,171078,177346,162975,169857,157182,172290,165597,167507,170034,154528,162927,171539,166213,156612,147072,167450,165677,174155,181328,168719,164733,170817,183255,162079,178093,183625,162991,174070,168523,169595,163449,168621,169111,160455,169157,175623,168366,162939,160529,163745,175550,184444,168700,172572,178303,175166,174006,172459,171509,174901,173625,170291,177736,160885,158969,169500,176377,159970,181071,185097,175303,173529,164891,168452,176849,153949,156053,170027,174421,163902,168985,177740,177154,161240,164815,156858,175388,170951,156189,168323,158226,152180,168727,169601,179856,169413,176416,155422,175282,179920,170157,177609,171541,162392,167857
14,146691,146966,147072,147186,147202,147939,179024,175711,156981,159150,172124,155147,187111,165016,169260,158845,172794,162676,172302,179200,166994,166129,149334,169805,167498,166146,167140,176294,168221,162916,175685,167005,158735,174384,165023,169777,175554,160635,176366,160798,164152,177603,170587,159824,175290,172670,161527,149793,170182,170476,180466,171444,172507,169133,171711,174518,170177,183054,184257,183107,172813,174907,160518,172737,173361,163373,177807,165417,183252,174679,179744,181911,174798,166747,158672,165577,164747,165042,169794,168196,160912,173591,157970,169825,164160,175016,179301,150309,162945,158662,180720,174067,164219,171929,170936,170113,168444,180087,181072,173963,162331,164235,176480,182843,169060,155569,165403,158480,165483,173665,177107,150510,178958,172763,170856,164197,177987,160169,175045,159375,180367,166468,172812,167611,166149,190444,182851,155805,180971,173077,177895,163138,175047,177754,164137,166370,178206,179076,173060,176192,166102,166855,163405,160476,170095,170440,171769,161794,171397,163249
15,146691,146966,147072,147186,147202,147939,174736,167795,165821,170779,184860,171251,168481,166185,170544,169667,164234,162580,164676,168680,155433,185432,152328,173008,169886,170241,182518,185612,172920,174653,159278,152783,164564,170069,175389,162314,165037,171856,175085,170310,185423,171246,164160,158456,158227,164868,166785,168322,166496,163401,176478,166612,165536,171598,170476,170968,167222,164661,167564,162285,159998,166052,180590,152356,171116,166109,173008,165651,171121,178650,179099,167346,168405,166104,175718,166911,166334,180035,160969,170590,174742,164519,178484,176047,170380,171070,171376,181916,171134,176198,160347,174313,180302,178805,171517,159333,174273,160834,167371,187843,165706,162990,166945,170214,167823,177546,160735,160362,169774,171208,180958,166187,176317,182384,165486,178405,154648,176149,164688,173547,144233,170910,162748,153435,170610,173232,167858,169759,160523,179175,166239,168897,173163,174913,178813,186507,157214,172765,174087,173924,156729,163515,167139,166261,174079,161575,172297,164154,168129,173359
16,144233,146691,146966,147072,147186,147202,160663,154409,174496,157702,163696,168668,159664,165415,161176,174291,178757,165594,172800,169307,164689,161517,171376,157709,172482,170105,173398,159155,177347,175503,155480,161364,169192,163217,174224,178585,149026,183508,173237,164038,179902,169717,167150,160138,168606,184735,163188,171001,175057,179499,172768,171897,158488,171861,174318,170577,171542,161604,177324,166856,149927,143406,184924,163653,162591,171725,166103,146366,164668,170887,151879,191197,177562,165431,176798,168041,168495,158526,173039,176732,168853,162220,167908,174003,172715,177326,172747,152647,175237,158982,171428,172551,165267,183398,164825,179838,170526,174194,178432,169388,172740,171678,167305,153729,161023,156782,174174,177029,176460,158055,165067,166307,159801,178397,171287,166511,182863,176240,174365,172607,174544,169635,167209,177865,178192,174553,169055,162114,166021,171610,177966,173458,173008,170941,163477,169746,172296,179310,166937,175424,173533,165510,177402,158526,184127,157658,166473,160063,172941,159756
17,143406,144233,146366,146691,146966,147072,169815,170494,161348,191759,167608,171333,178208,172408,169832,168993,159704,179334,175748,177207,164295,169408,176810,177495,162007,169393,150612,176453,177545,183649,169329,176563,175425,170308,178259,183222,162007,172930,169169,159683,162820,163545,158666,181311,183786,170496,164278,168464,179593,167823,175609,161240,165417,162169,162483,147663,173960,157143,182611,183343,176810,170607,177070,173746,168954,169788,162372,165511,171149,147542,161391,176553,173394,164327,165237,167406,176687,178359,158751,166626,169618,174639,169781,170636,179948,181751,150635,179884,158832,166348,171517,177210,174695,182312,173335,174024,162992,173604,170178,172685,151532,163784,178346,172960,161502,171502,162665,166004,161166,174370,156435,158370,176002,171610,160025,166450,166535,170443,157829,163165,178331,168701,158423,168282,155900,167297,165025,157600,159561,166245,164668,158087,164065,173648,169439,164059,156021,171271,168639,159427,164296,176919,167122,174901,176341,174439,150955,146442,173762,168299
18,143406,144233,146366,146442,146691,146966,158627,166966,169818,164100,145474,162565,171652,168309,174462,164828,172862,169359,181244,165200,158008,171463,179593,166023,179806,164873,169647,165446,171443,171268,145926,174850,173743,171036,173648,171295,168316,177075,179258,171535,180046,178097,166345,173470,166419,149162,181108,172264,162335,187621,157603,179924,164299,183931,158779,174437,169775,170032,157943,170590,179508,176989,158519,161232,160754,186500,162573,172845,164026,165996,184515,171246,191034,171490,166914,175443,156021,166535,179821,171608,171192,170404,164989,164462,175492,159690,158435,170922,169375,181386,180462,178375,171761,178388,176813,168217,178808,160388,168272,155386,179286,184228,176563,176563,164823,168445,157583,162756,168862,158503,159296,166151,172071,156121,174806,180405,183916,175797,184050,167493,159315,168768,172722,173073,161487,172320,184135,173587,162974,175613,170008,167862,169992,172423,169830,166895,172475,158222,156435,162483,170450,176955,153268,165674,149421,172212,163571,169747,172159,170830
19,143406,144233,145474,145926,146366,146442,147497,169418,165510,171613,178900,172423,163769,159616,174579,176452,166750,196043,169716,167438,159987,174828,177185,178359,181349,166189,172005,163136,166969,175580,169978,173604,171825,162664,182687,161341,175317,170856,179203,184206,168945,163936,174786,170052,176251,186876,178988,157430,154350,180360,160311,159712,161718,148643,176430,177114,173310,155615,178726,179286,165963,160916,184945,167935,181298,180756,189942,187665,173314,177794,168768,159464,173559,178809,169457,162888,150923,160422,164005,164692,172743,164066,167025,164539,162938,163996,170009,156996,189993,164676,177244,170667,155899,177343,168582,172618,181891,174541,185849,163049,167241,164283,186274,171695,161814,186854,167437,161443,160202,154532,170019,165068,160021,164105,172139,187086,171297,164689,171111,168300,167156,177443,178146,181897,181318,175756,158301,168631,181313,170261,150377,176295,159717,165447,173522,165109,166209,183544,176989,180046,162081,164690,174075,165719,167074,168653,162919,169881,173462,175065
20,143406,144233,145474,145926,146366,146442,183626,170369,146105,184382,154604,152067,162101,162221,172710,172882,187506,179762,161940,156389,179420,157482,164971,173200,170597,182012,182351,172095,146366,149884,179646,170380,160250,155816,169668,155268,181452,165660,149869,171398,170015,187847,175357,164164,182417,153919,165609,173733,172604,157692,173609,184726,184764,171890,156611,140599,163108,170079,162487,162573,171699,169785,180156,167907,156548,181014,160594,175920,164719,170204,168590,167477,179589,166468,155280,158693,173767,169086,162730,187959,163185,167951,179439,167678,161987,180506,164024,176167,178422,168398,168197,180702,163996,169366,166737,173306,175661,168818,173867,177354,164322,172555,190847,166671,173047,175962,174300,178672,163235,161266,171156,178536,172257,171890,167175,157154,181513,176584,168812,168049,157261,171946,171680,176200,180594,180635,161411,167470,168268,170284,182592,172586,175761,175460,186219,169636,152048,193525,183483,174101,163940,169863,167869,178194,164381,169066,168682,183709,162507,171727
21,140599,143406,144233,145474,145926,146105,172572,157181,169571,166663,163752,161516,177692,150681,178314,170167,165932,192318,159867,171960,176719,177871,175974,168371,165516,168147,174485,176460,168575,172029,169005,176378,149112,177141,181495,168200,171878,163632,167885,165972,161760,172008,181894,175997,163500,179122,168180,166930,183222,161263,155203,180212,172773,187398,152382,168790,171256,151086,164862,159249,163671,165297,160816,164060,162738,170816,178761,177736,182568,186432,179636,174978,174805,165465,168341,161312,175245,167182,163170,175542,173288,183264,190224,191736,157501,163779,176998,181586,174190,173617,175761,172592,181206,168902,167664,175197,170212,163722,170380,166584,164198,163714,143230,162113,179204,159011,174436,167284,175146,184217,182412,174113,181980,174872,162172,169803,178568,184562,166871,175395,179227,155021,176419,177244,169563,173504,180107,177624,165213,166448,162518,160664,175632,168566,160852,177108,175760,176267,173344,169714,176168,169028,173967,168769,166060,173188,171369,152194,163957,184804
22,140599,143230,143406,144233,145474,145926,157509,182542,169229,186251,166189,174379,148593,168200,176345,161893,177705,159864,169060,182538,169546,184701,165410,171725,156442,172535,162586,183433,168477,167072,170227,167944,171870,183154,178281,163531,173465,177870,155393,161554,151298,171143,159800,174549,168113,172374,181922,172603,170077,170700,169398,174856,164203,171765,169908,177154,166309,172257,151271,180962,165981,166436,172122,180848,163652,171826,181898,178262,171067,169010,188836,155822,162238,181925,186535,176989,171607,167957,164613,176982,168899,175678,170609,161175,170039,176793,162156,171164,162976,163058,175286,167996,167858,173355,176438,158965,176502,154362,164904,171379,171672,164300,183039,175773,170841,149996,187126,170611,168596,180589,172259,160025,166216,152919,165803,157794,159498,156321,173786,171703,163427,160113,186531,178160,176048,168441,165768,168810,185071,171723,167844,153714,175310,169243,168001,177109,176419,179623,179752,172572,179012,169445,192146,179567,183360,159469,164156,164530,153351,185995
23,140599,143230,143406,144233,145474,145926,171238,162474,170854,190095,165953,156820,180095,170224,165007,178262,169233,171362,170492,140924,164899,168969,169551,177032,156329,166374,166931,169835,161144,179459,170069,163739,170008,162618,186251,186251,174622,161687,169851,173973,165189,170747,163052,170078,171149,162493,173965,158014,169607,157649,172881,160059,177500,160519,174282,169174,180729,182059,180707,166879,160574,166362,167000,176165,169490,142985,158965,176345,181099,175418,173048,160080,184479,177188,163988,158956,174430,160163,159930,172292,178868,166678,155946,147439,180829,156910,153501,166271,165122,162277,157722,165803,173468,174614,154531,168721,173725,183174,171220,179507,177870,168585,155143,174012,174652,169321,169226,161508,171934,172373,169291,166791,166805,171565,169981,169821,160493,173361,158016,178895,168057,173461,173971,170614,171496,166735,165188,178087,162867,157170,183217,159363,164443,171932,177391,177123,173362,186684,163283,167071,168050,170062,155954,172819,171095,164928,159290,178455,171586,175034
24,140599,140924,142985,143230,143406,144233,159616,167476,165786,183203,148883,145253,168438,178535,172935,171294,167966,172280,165747,174880,167144,178812,179537,176103,163041,174761,172341,162696,173957,180755,169659,165762,174511,172068,173557,174742,159515,174496,153638,179580,166504,160341,166075,166672,174741,158989,168240,158532,168140,168776,164129,183732,178706,171325,173640,176007,177570,168225,164757,171271,155698,181024,167484,175550,167924,172568,161955,174104,151581,182642,164854,179327,171022,171159,163847,171309,169494,174145,161580,157570,167099,160325,176136,160979,176738,163811,161603,177335,174483,162197,176244,164604,172948,169372,160229,171641,174866,168717,175108,171427,158407,162750,150526,161788,164861,169720,176998,160530,186642,167744,167284,163999,169730,181402,169696,162321,174485,169507,165890,165951,176944,166137,158014,148432,166122,153607,167634,169226,178008,170512,171127,181379,181184,169785,155047,147604,171185,156099,164789,174253,172237,179689,162621,181407,162841,156765,173454,166458,169168,165941
25,140599,140924,142985,143230,143406,144233,176609,161386,178071,179251,170738,180465,167952,171586,165800,173640,169006,183094,160200,161042,153637,172828,157469,168165,163090,156843,169556,171618,178560,167244,170688,174764,186839,175449,166426,167171,169841,157206,148432,164339,172118,154182,172072,172866,176309,168396,173789,170884,179707,173006,158824,154114,166670,169624,168435,177349,173975,169721,172898,181323,185000,165618,168051,163999,173369,164243,164357,174271,163371,156955,164060,173961,166708,168020,173243,170807,175189,190012,173696,180269,165739,171329,175062,174754,171048,173000,174867,167569,169557,156398,166867,169625,155656,160539,173631,194810,161994,164533,159964,174151,182362,169619,171185,173174,172414,151558,172527,166769,165355,163528,149355,161616,167885,160526,167434,174310,178256,168227,174204,176072,179736,171544,181233,165885,164122,170336,171006,179076,169780,154546,176545,158462,168788,166269,173683,159563,159948,158435,161911,166864,158042,165691,167326,168350,170339,176315,180644,164508,164302,166511
26,140599,140924,142985,143230,143406,144233,182129,175444,161779,168408,176441,162894,167939,176162,176968,173009,161824,163774,180410,174359,183376,167834,167557,163115,171384,163649,166839,176461,143678,174807,169216,153234,177175,165672,175773,173066,160047,161808,171888,148435,179023,162194,177834,171479,162313,163378,149861,169854,179158,172357,157907,156061,174358,175904,160781,180933,172342,167748,168845,183405,174416,162712,154114,165118,164233,169611,168766,177987,184287,172827,172089,165502,175635,164158,173430,169353,168375,166671,170277,166643,182444,172017,144862,167611,165863,164547,155780,162864,159360,166853,167080,169160,162311,183702,172077,172284,182733,180543,166969,162223,166076,173620,174754,173618,179881,164694,158455,179482,155917,168318,164903,158412,171097,151323,166529,158427,155693,184729,160457,163753,149664,167558,158997,175708,169986,178269,156117,174121,170193,167232,169015,161144,163051,180395,166053,164159,194151,175175,159389,165387,183362,176529,159843,160312,168452,172773,168821,161677,170900,172103
27,140599,140924,142985,143230,143406,143678,169538,166885,160834,186413,170906,167047,167940,167326,178170,185197,187841,180914,159757,180613,175374,172459,156814,181303,156280,178269,177158,169689,164192,163789,167872,174747,169042,169171,176532,158961,161566,169641,176020,171933,157773,152721,176729,156159,178808,168092,165345,160363,168743,170486,173986,171122,162738,171304,169987,173450,169739,163619,179160,160754,161145,180278,161836,155417,157373,174675,157265,144798,172182,170361,157235,169432,179451,171024,177882,180794,174165,160766,169300,170002,177986,164260,180905,167285,178569,147290,160512,157138,154464,172953,163657,161359,173430,160463,183685,162247,172988,165812,156303,167800,172944,172731,194151,168867,175155,164314,156244,160758,167272,160047,153235,166087,179025,161785,147133,160046,166007,172548,162610,176145,170453,145197,178837,155297,180628,169193,175250,173421,179672,166735,152017,150012,185441,180831,177011,160202,165630,164968,159920,162324,175644,159985,175439,172479,185295,169634,183806,183384,176079,182393
