Probabilidade de Cruzamento,Elites,Probabilidade de Mutacao,Geracoes,Tamanho da Populacao,Individuo de Melhor Aptidao,Aptidao Media
0.80,10,0.10,200,25,13309114.00,12198302.68
0.60,10,0.10,200,25,13312230.00,10516918.16
1.00,0,0.01,25,50,12942009.00,11005084.90
0.80,0,0.01,25,50,13169037.00,8800622.74
0.60,0,0.01,25,50,13183683.00,8797811.36
1.00,0,0.05,25,50,13128628.00,8660408.30
0.80,0,0.05,25,50,13218538.00,10000629.98
0.60,0,0.05,25,50,12784149.00,8864880.34
1.00,0,0.10,25,50,13020604.00,6727329.64
0.80,0,0.10,25,50,13141496.00,8666976.74
0.60,0,0.10,25,50,12920964.00,9468237.68
1.00,2,0.01,25,50,13280163.00,12969008.02
0.80,2,0.01,25,50,13267406.00,12686304.48
0.60,2,0.01,25,50,13179770.00,12185279.16
1.00,2,0.05,25,50,13185637.00,10203179.56
0.80,2,0.05,25,50,13224685.00,12574958.62
0.60,2,0.05,25,50,13259890.00,10064138.48
1.00,2,0.10,25,50,13240641.00,10367572.96
0.80,2,0.10,25,50,13359710.00,10652018.36
0.60,2,0.10,25,50,13135361.00,8841739.44
1.00,2,0.01,25,50,13250069.00,8847166.62
0.80,2,0.01,25,50,13350969.00,11864891.38
0.60,2,0.01,25,50,13165065.00,9438387.22
1.00,2,0.05,25,50,13215558.00,11956390.26
0.80,2,0.05,25,50,13183152.00,11286602.38
0.60,2,0.05,25,50,13432502.00,9875207.34
1.00,2,0.10,25,50,13381334.00,9061108.42
0.80,2,0.10,25,50,13214411.00,9249236.64
0.60,2,0.10,25,50,13330883.00,11207209.36
1.00,6,0.01,25,50,12993985.00,12980423.84
0.80,6,0.01,25,50,13302637.00,11935881.00
0.60,6,0.01,25,50,13195834.00,11647446.56
1.00,6,0.05,25,50,13038361.00,12097307.26
0.80,6,0.05,25,50,13200286.00,11294345.26
0.60,6,0.05,25,50,13118804.00,9673538.68
1.00,6,0.10,25,50,13193375.00,11258001.66
0.80,6,0.10,25,50,13176574.00,9106980.10
0.60,6,0.10,25,50,13148495.00,11726319.90
1.00,10,0.01,25,50,13306840.00,12512596.22
0.80,10,0.01,25,50,13351508.00,13076939.16
0.60,10,0.01,25,50,13183318.00,12272510.34
1.00,10,0.05,25,50,13252140.00,12403916.34
0.80,10,0.05,25,50,13142186.00,12827854.72
0.60,10,0.05,25,50,13095630.00,10752007.40
1.00,10,0.10,25,50,13012192.00,9733490.58
0.80,10,0.10,25,50,13239222.00,12257134.60
0.60,10,0.10,25,50,13167147.00,11092765.34
1.00,0,0.01,50,50,12951973.00,10988641.00
0.80,0,0.01,50,50,13290806.00,10308760.20
0.60,0,0.01,50,50,13022900.00,11075851.56
1.00,0,0.05,50,50,13136447.00,11792107.66
